WORD;POS;STRUCTURE
moon;noun;0
end;noun;0
gold;noun;0
cloud;verb;0
wheel;noun;0
name;noun;0
path;noun;0
sad;noun;3
page;noun;0
hind;noun;4
friday;noun;0
write;verb;0
elbow;noun;0
voice;noun;0
phrase;noun;0
account;noun;0
plant;noun;0
invite;verb;0
peace;adjective;0
supply;verb;1
pa;noun;0
soft;adjective;0
tropic;noun;0
rice;noun;0
high;adjective;0
special;adjective;0
segment;noun;0
adverb;noun;0
reason;adjective;0
attention;noun;0
admiral;noun;0
offer;verb;0
form;verb;0
new;noun;0
title;noun;0
show;verb;0
aphid;noun;1
ship;noun;0
holidaymaker;noun;1
college;noun;0
pay;noun;0
friend;noun;0
guess;noun;0
vehicle;noun;0
warthog;noun;2
fence;noun;0
wall;noun;0
knit;verb;0
educate;adjective;0
did;verb;0
formal;adjective;0
state;verb;0
star;noun;0
store;verb;0
human;adjective;0
hemp;noun;0
punish;verb;0
inner;adjective;0
pink;adjective;0
bush;noun;0
lie;verb;0
bag;noun;0
plate;noun;0
train;verb;0
market;noun;0
write;noun;0
meet;verb;0
freedom;noun;0
caviar;noun;1
world;noun;0
magazine;noun;0
cover;verb;0
excrete;verb;0
aeroplane;noun;0
military;adjective;0
substance;noun;0
fig;verb;0
charge;noun;0
cardboard;noun;3
love;noun;0
difficult;adjective;0
oval;noun;0
ape;noun;2
passage;noun;0
esp;adverb;0
food;noun;0
vertical;adjective;0
party;noun;0
separate;adverb;0
period;noun;0
monastery;noun;0
switch;noun;0
curve;noun;0
radius;noun;0
fertile;verb;0
date;adjective;0
uniform;adjective;0
accurate;adjective;0
natural;adjective;0
sun;noun;0
planet;noun;0
pleasure;noun;0
worry;verb;0
hold;verb;0
joint;adjective;0
flatter;noun;0
tune;noun;0
eat;verb;0
enter;verb;0
pray;verb;0
subtract;verb;0
old;adjective;0
relate;noun;0
bull;noun;3
phone;noun;0
needle;noun;0
enclose;verb;0
land;noun;0
straight;adjective;0
blue;adjective;0
dance;noun;0
plan;noun;0
next;adjective;0
watch;verb;0
jump;verb;0
deceive;verb;0
last;verb;0
fear;noun;0
like;adverb;0
flame;noun;0
back;noun;0
teach;verb;0
appreciate;verb;0
won;verb;0
oxygen;noun;0
tap;noun;1
yellow;adjective;0
detail;noun;0
cattle;noun;3
count;noun;0
astonish;verb;3
peppercorn;noun;1
credit;noun;0
oval;adjective;0
consider;verb;0
hide;verb;0
separate;verb;0
nowhere;adverb;0
correct;verb;0
exercise;noun;0
cloth;noun;0
neckline;noun;0
fed;noun;2
use;noun;0
given;verb;0
fire;noun;0
home;noun;0
ussr;noun;3
celebrate;verb;0
hoop;noun;4
leg;noun;0
body;noun;0
unacceptable;adjective;0
mice;noun;0
close;adverb;0
lock;noun;0
cottage;noun;0
luck;noun;0
hit;verb;0
interest;verb;0
sideways;adverb;0
gas;noun;0
expect;noun;0
replace;verb;0
especially;adverb;0
origin;adjective;0
bright;noun;0
structure;noun;0
change;verb;0
viscount;noun;1
reaction;noun;0
stud;noun;0
concrete;noun;4
bathtub;noun;0
dug;verb;0
create;verb;0
pick;verb;0
flash;noun;0
develop;noun;0
skin;adjective;0
heel;noun;0
meet;noun;0
match;noun;0
question;noun;0
alternative;noun;0
ride;verb;0
hope;verb;0
goes;verb;0
turn;noun;0
paraffin;noun;2
load;noun;0
country;noun;0
rule;verb;0
powder;noun;0
officious;adjective;0
sniff;verb;0
burn;noun;0
drum;verb;0
talk;verb;0
shirt;noun;0
such;adjective;0
chain;noun;0
last;adjective;0
horse;noun;0
sex;noun;0
notice;verb;0
melt;verb;1
quiet;adjective;0
soft;noun;0
instruct;noun;0
urine;noun;0
attempt;verb;0
kilogram;noun;2
time;noun;0
piece;noun;0
unsuccessful;adjective;0
achieve;noun;0
combine;verb;0
number;noun;0
pop;adjective;4
vacation;noun;2
plain;noun;0
tub;noun;0
town;noun;0
affect;adjective;2
engineer;verb;0
start;verb;0
talk;noun;0
private;adjective;0
rain;noun;0
goer;noun;1
clean;verb;0
example;noun;0
bite;noun;0
small;adjective;0
raise;verb;0
fast;adverb;0
off;noun;5
fire;verb;0
breath;noun;0
hang;verb;0
clear;adjective;0
author;noun;0
alphabet;noun;0
feed;verb;0
action;noun;0
coin;noun;0
boil;noun;0
wine;noun;0
satisfy;verb;0
father;noun;0
build;noun;0
build;verb;0
second;noun;0
freeze;noun;0
nail;noun;0
inform;adjective;0
born;verb;0
pencil;noun;0
aim;verb;0
pearl;noun;2
dislike;verb;1
custom;noun;0
more;adverb;0
reward;noun;0
operate;verb;0
root;noun;0
right;adjective;0
calm;noun;0
cannot;verb;0
music;noun;0
coat;noun;0
precious;adjective;1
shelf;noun;0
ago;adverb;0
pepper;noun;1
cultivate;verb;1
lot;noun;0
copper;noun;0
story;noun;0
please;adjective;0
ride;noun;0
metre;noun;1
photograph;noun;0
bitter;adjective;0
square;adjective;0
gentle;adjective;0
able;adjective;0
enemy;noun;0
spring;verb;2
baseball;noun;0
ceiling;noun;0
press;noun;0
important;adjective;0
potato;noun;0
care;adjective;0
entrance;noun;0
unattractive;adjective;1
space;noun;0
stupid;adjective;0
fat;noun;0
syringe;noun;1
lid;noun;0
slight;adjective;0
problem;noun;0
race;noun;0
pour;verb;0
how;adverb;0
birth;noun;0
hill;noun;0
tail;noun;0
heat;verb;0
origin;adverb;0
garden;noun;0
screen;noun;0
harvest;noun;0
several;adjective;0
irregular;adjective;0
trade;noun;0
fox;noun;0
level;adjective;0
sturgeon;noun;1
job;noun;0
shift;verb;1
men;noun;0
language;noun;0
eleven;noun;0
begin;verb;0
happen;verb;0
spirit;noun;0
male;noun;0
pedal;noun;0
pluto;noun;0
would;verb;0
off;adjective;1
quality;noun;0
fat;adjective;0
stick;noun;0
solicitor;noun;1
duty;noun;0
complicate;noun;0
inform;noun;0
industrious;noun;0
disobey;verb;0
manage;verb;0
unkind;adjective;0
steam;noun;0
exchange;verb;0
ready;adjective;0
care;noun;0
flour;adjective;0
restaurant;noun;0
trick;verb;0
cast;verb;6
crush;adjective;0
box;noun;0
full;adjective;0
half;adjective;3
done;verb;0
design;noun;0
monday;noun;0
blame;noun;0
process;verb;0
much;adverb;0
pair;noun;0
position;noun;0
fall;verb;0
possible;noun;0
fish;noun;0
wise;adjective;0
universal;noun;0
directory;noun;0
receive;noun;0
orange;noun;0
allow;verb;0
smooth;adjective;0
strong;adverb;0
latin;noun;0
elect;noun;0
lend;verb;0
spend;noun;0
flight;noun;0
stomach;noun;0
determine;verb;0
furniture;noun;0
symbol;noun;0
trust;verb;0
ceremony;noun;0
artificial;adjective;0
floor;noun;0
deserve;verb;0
intend;verb;0
door;noun;0
vd;noun;2
long;adverb;0
battle;noun;0
kept;verb;0
frequent;adjective;0
collar;noun;0
animal;noun;0
intern;noun;1
queen;noun;0
made;verb;0
tobacco;noun;2
arse;verb;2
always;adverb;0
drop;noun;0
roman;adjective;0
were;verb;0
plug;noun;0
push;verb;0
frame;noun;0
weighting;noun;0
row;noun;0
fur;noun;0
business;noun;0
unite;verb;1
fry;noun;0
warm;adjective;0
mar;verb;0
prevent;verb;0
cried;verb;0
permit;noun;0
aircraft;noun;0
saturn;noun;0
law;noun;0
pull;verb;0
use;adjective;0
fork;verb;0
waste;noun;0
instruct;verb;0
across;adverb;0
unfriendly;adjective;1
spend;verb;0
garage;noun;0
draw;noun;0
stream;noun;0
clapper;noun;0
written;verb;0
sitcom;noun;0
judge;verb;0
reptile;noun;0
chicken;noun;0
religion;noun;0
posit;verb;0
describe;verb;0
plant;verb;0
ring;noun;0
backwards;adverb;0
previous;adjective;0
strength;noun;0
delicate;adjective;0
primate;noun;2
cast;noun;6
disappear;verb;1
leg;verb;0
adjective;noun;0
apart;adverb;0
thought;noun;0
chocolate;noun;0
make;noun;0
fact;noun;0
please;verb;0
november;noun;0
milk;noun;0
polite;adjective;0
map;noun;0
rest;adjective;0
flick;noun;3
past;adjective;0
even;adverb;0
teeth;noun;0
mallet;noun;5
shape;noun;0
grape;noun;0
necessary;adjective;0
sky;noun;0
discuss;verb;0
affair;noun;0
plane;noun;0
fungus;noun;0
swallow;verb;0
handle;verb;0
pipe;noun;1
usa;noun;1
zip;noun;0
view;noun;0
divide;verb;0
cat;noun;0
owe;verb;0
diesel;noun;1
sell;verb;0
god;noun;0
can;noun;0
con;adjective;0
attack;verb;1
shelves;noun;0
hurry;verb;1
like;verb;0
pride;noun;0
represent;verb;0
compete;verb;0
address;noun;0
first;adverb;0
worn;adjective;0
print;verb;0
note;noun;0
similar;adjective;0
clock;noun;0
workman;noun;0
doubt;noun;0
unable;adjective;0
underground;adjective;0
insect;noun;0
evergreen;noun;1
silver;noun;0
testicle;noun;2
aim;noun;0
property;noun;0
overhead;noun;2
happy;noun;0
can;verb;0
grey;noun;0
reservoir;noun;0
gin;noun;2
promise;noun;0
easily;adverb;0
away;adverb;0
sometime;adverb;0
branch;noun;0
effort;noun;0
cocoon;noun;1
meat;noun;0
liquid;adjective;0
sing;noun;0
believe;verb;0
large;noun;0
timid;adjective;1
cloakroom;noun;0
recent;adjective;0
sweet;adjective;0
top;noun;0
then;adverb;0
royal;adjective;0
purpose;noun;0
force;noun;0
spring;noun;0
wing;adjective;1
contain;noun;0
dirt;noun;0
aloud;adverb;0
belief;noun;0
overhead;adjective;1
sheet;noun;0
convent;noun;0
dry;adjective;0
razor;noun;1
crank;noun;0
wednesday;noun;0
n;noun;0
ill;noun;0
hold;noun;0
bring;verb;0
lip;noun;0
happy;adjective;0
nun;noun;0
memorial;noun;0
utensil;noun;0
drunk;adjective;0
read;verb;0
tale;noun;0
very;adverb;0
arrange;noun;0
side;noun;0
genome;noun;0
stem;noun;0
decision;noun;0
freshman;noun;1
autumn;noun;0
september;noun;0
silkworm;noun;4
discover;verb;0
help;noun;0
repeat;verb;0
unwise;adjective;0
keep;verb;0
rod;noun;0
bottle;noun;0
loose;adjective;0
record;adjective;0
outside;noun;0
subway;noun;0
marquis;noun;2
blackcurrant;noun;0
girl;noun;0
teach;noun;0
colour;noun;0
right;noun;0
exchange;noun;0
tense;adjective;0
refuse;noun;0
edible;adjective;0
ripe;adjective;0
twist;verb;0
wire;noun;0
medicine;noun;0
determiner;noun;0
elementary;adjective;0
back;adjective;0
roll;verb;0
hear;verb;0
junior;adjective;2
shout;verb;0
kind;adverb;0
broadcast;verb;0
royal;noun;0
wind;noun;0
jug;noun;0
edge;noun;0
something;noun;0
opposite;adjective;0
process;noun;0
speed;noun;0
everywhere;adverb;0
height;noun;0
pronoun;noun;0
govern;verb;0
badminton;noun;1
woven;verb;0
loyal;adjective;0
week;noun;0
event;noun;0
dissolve;verb;0
still;adverb;0
tell;verb;0
gun;noun;0
once;adverb;0
bond;noun;0
find;verb;0
anxiety;noun;0
sit;verb;0
system;noun;0
are;verb;0
mathematics;noun;0
venue;noun;0
float;adjective;0
barley;noun;4
gather;verb;0
switchblade;noun;3
establish;verb;0
lion;noun;0
culture;noun;0
skill;noun;0
promise;adjective;1
shellfish;noun;1
illegal;adjective;0
store;noun;3
bends;noun;3
claw;noun;0
fibre;noun;0
upper;adjective;0
order;noun;0
face;noun;0
blame;verb;0
navy;noun;0
rye;noun;4
must;verb;0
