WORD;POS;STRUCTURE
win;verb;1
fact;noun;1
garden;noun;1
heat;verb;1
unhappy;adjective;1
describe;verb;1
right;adjective;1
branch;noun;1
preserve;verb;1
central;adjective;1
honour;noun;1
seem;verb;1
call;verb;1
mongrel;noun;1
grape;noun;1
flow;verb;1
don;verb;1
surface;noun;1
exist;verb;1
leg;verb;1
shine;verb;1
top;noun;1
journey;noun;1
cake;noun;1
graphite;noun;1
design;verb;1
speed;noun;1
champion;noun;1
proof;noun;1
end;verb;1
then;adverb;1
empty;adjective;1
system;noun;1
level;noun;1
plughole;noun;1
earth;noun;1
weigh;verb;1
pure;adjective;1
article;noun;1
vertical;adjective;1
prize;noun;1
defeat;verb;1
holiday;noun;1
involve;verb;1
white;adjective;1
need;verb;1
opinion;noun;1
secret;adjective;1
love;verb;1
desire;verb;1
study;noun;1
solid;adjective;1
bad;noun;1
nucleus;noun;1
fast;adverb;1
mistake;noun;1
grandparent;noun;1
bang;verb;1
thread;noun;1
earn;verb;1
pointed;adjective;1
channel;noun;1
flower;noun;1
blue;adjective;1
welcome;verb;1
pleasant;adjective;1
service;noun;1
lock;noun;1
type;noun;1
urine;noun;1
smoke;verb;1
world;noun;1
oval;adjective;1
count;noun;1
rule;verb;1
lake;noun;1
many;adverb;1
hold;verb;1
goodbye;noun;1
fork;noun;1
search;verb;1
fat;noun;1
picture;noun;1
breed;noun;1
understand;verb;1
shelf;noun;1
blame;noun;1
basic;noun;1
lose;verb;1
be;verb;1
pair;noun;1
sleep;verb;1
sugar;noun;1
ask;verb;1
wall;noun;1
pull;verb;1
card;noun;1
process;verb;1
thumb;noun;1
passenger;noun;1
limit;noun;1
queen;noun;1
aloud;adverb;1
dry;verb;1
clothes;noun;1
will;verb;1
severe;adjective;1
swallow;verb;1
pole;noun;1
ceremony;noun;1
water;noun;1
royal;adjective;1
tooth;noun;1
elementary;adjective;1
so;adverb;1
somewhere;adverb;1
distance;noun;1
new;adjective;1
hard;adjective;1
rd;noun;1
dry;adjective;1
president;noun;1
fresh;adjective;1
respective;adjective;1
turn;noun;1
feature;noun;1
emotion;noun;1
satisfactory;adjective;1
shout;verb;1
where;adverb;1
bread;noun;1
skin;verb;1
grain;noun;1
familiar;adjective;1
bury;verb;1
coffee;noun;1
fig;noun;1
unusual;adjective;1
weapon;noun;1
provide;verb;1
compare;verb;1
well;adverb;1
radio;noun;1
car;noun;1
city;noun;1
sheep;noun;1
ellipse;noun;1
pronoun;noun;1
highwayman;noun;1
jump;noun;1
cure;verb;1
shop;noun;1
won;verb;1
angle;noun;1
start;noun;1
own;verb;1
left;adjective;1
leave;noun;1
stuck;adjective;1
victory;noun;1
get;verb;1
tune;noun;1
worry;verb;1
attention;noun;1
adverb;noun;1
regular;adjective;1
behave;verb;1
other;noun;1
name;noun;1
moon;noun;1
beach;noun;1
fight;verb;1
direct;adjective;1
digest;verb;1
heart;noun;1
thin;adjective;1
use;noun;1
taste;noun;1
quite;adverb;1
space;noun;1
one;noun;1
ill;adjective;1
conserve;verb;1
square;adjective;1
big;adjective;1
melody;noun;1
more;adverb;1
engine;noun;1
wear;verb;1
far;adverb;1
want;verb;1
black;adjective;1
wine;noun;1
virus;noun;1
war;noun;1
become;verb;1
even;adverb;1
character;noun;1
honour;verb;1
juice;noun;1
forever;adverb;1
boil;verb;1
keep;verb;1
news;noun;1
window;noun;1
broadcast;verb;1
dog;noun;1
everywhere;adverb;1
fork;verb;1
free;adjective;1
silver;noun;1
joke;noun;1
sport;noun;1
female;noun;1
parallel;noun;1
excuse;noun;1
encourage;verb;1
object;noun;1
brick;noun;1
game;noun;1
train;verb;1
supply;noun;1
film;noun;1
deal;noun;1
bent;adjective;1
subscribe;verb;1
crop;noun;1
moral;adjective;1
draw;verb;1
freeze;verb;1
continue;verb;1
support;noun;1
invest;verb;1
air;noun;1
fold;verb;1
blade;noun;1
accord;verb;1
centre;noun;1
class;noun;1
pale;adjective;1
catch;verb;1
many;adjective;1
work;verb;1
pretty;adverb;1
dish;noun;1
demand;verb;1
smooth;noun;1
negative;noun;1
text;noun;1
unfair;adjective;1
boat;noun;1
broken;adjective;1
offer;verb;1
reactor;noun;1
form;verb;1
mark;verb;1
skin;noun;1
goal;noun;1
court;noun;1
march;verb;1
authority;noun;1
enter;verb;1
sour;adjective;1
ship;noun;1
payment;noun;1
look;verb;1
struggle;verb;1
talk;verb;1
take;verb;1
walk;noun;1
not;adverb;1
parent;noun;1
confuse;verb;1
drug;noun;1
equal;adjective;1
horizontal;adjective;1
curve;verb;1
race;noun;1
liquid;noun;1
waist;noun;1
noun;noun;1
artificial;adjective;1
remember;verb;1
nearly;adverb;1
helicopter;noun;1
rub;verb;1
lubricant;noun;1
drop;noun;1
always;adverb;1
warn;verb;1
yeast;noun;1
safe;adjective;1
humble;adjective;1
inability;noun;1
male;adjective;1
waste;noun;1
february;noun;1
church;noun;1
claw;noun;1
person;noun;1
attempt;noun;1
edge;noun;1
strong;adjective;1
general;adjective;1
clothing;noun;1
tool;noun;1
knife;noun;1
wooden;adjective;1
colour;noun;1
unwise;adjective;1
plain;adjective;1
dig;verb;1
grade;noun;1
late;adjective;1
apartment;noun;1
control;noun;1
state;noun;1
parenthesis;noun;1
first;adjective;1
cut;noun;1
principle;noun;1
plasticine;noun;1
pin;noun;1
lung;noun;1
praise;verb;1
magazine;noun;1
material;noun;1
careful;adjective;1
ice;noun;1
detail;noun;1
yet;adverb;1
bowl;noun;1
send;verb;1
friday;noun;1
cathode;noun;1
memory;noun;1
bad;adjective;1
group;noun;1
rice;noun;1
set;noun;1
less;adjective;1
aware;adjective;1
public;noun;1
breast;noun;1
mercury;noun;1
truth;noun;1
bag;noun;1
purple;adjective;1
date;verb;1
electronic;adjective;1
plastic;noun;1
radius;noun;1
jockey;noun;1
social;adjective;1
stop;verb;1
direction;noun;1
experience;noun;1
oxygen;noun;1
reaction;noun;1
fuel;noun;1
such;adjective;1
advantage;noun;1
excite;verb;1
boil;noun;1
attack;noun;1
back;noun;1
light;adjective;1
even;adjective;1
small;adjective;1
afresh;adverb;1
reproduce;verb;1
sing;verb;1
tongue;noun;1
connect;verb;1
image;noun;1
ready;adjective;1
molecule;noun;1
hat;noun;1
nice;adjective;1
good;noun;1
top;adjective;1
heat;noun;1
feed;verb;1
quality;noun;1
second;adjective;1
test;noun;1
swell;noun;1
address;noun;1
signal;noun;1
bachelor;noun;1
study;verb;1
republic;noun;1
temper;verb;1
decision;noun;1
cell;noun;1
coal;noun;1
ticket;noun;1
positive;adjective;1
loyal;adjective;1
cheat;verb;1
envelope;noun;1
belief;noun;1
dirt;noun;1
bath;noun;1
quantity;noun;1
ink;noun;1
point;noun;1
motor;noun;1
soldier;noun;1
transport;verb;1
share;noun;1
toilet;noun;1
colour;verb;1
succeed;verb;1
as;adverb;1
monk;noun;1
cord;noun;1
village;noun;1
had;verb;1
parcel;noun;1
choice;noun;1
original;adjective;1
fasten;verb;1
public;adjective;1
rather;adverb;1
basic;adjective;1
border;noun;1
run;verb;1
follow;verb;1
hand;noun;1
bake;verb;1
switch;noun;1
high;adjective;1
sight;noun;1
letter;noun;1
mean;verb;1
show;noun;1
november;noun;1
aside;adverb;1
chance;noun;1
hide;verb;1
sign;noun;1
bare;adjective;1
head;noun;1
change;verb;1
bush;noun;1
plate;noun;1
problem;noun;1
again;adverb;1
cold;adjective;1
restaurant;noun;1
separate;verb;1
bump;verb;1
hit;verb;1
bitter;adjective;1
level;adjective;1
unacceptable;adjective;1
adult;noun;1
action;noun;1
dislike;verb;1
language;noun;1
baseball;noun;1
typical;adjective;1
close;adjective;1
represent;verb;1
fill;verb;1
breed;verb;1
slight;adjective;1
face;verb;1
mention;verb;1
road;noun;1
piano;noun;1
complete;adjective;1
degree;noun;1
make;noun;1
holy;adjective;1
something;noun;1
upset;verb;1
cable;noun;1
plant;verb;1
can;noun;1
underground;adjective;1
illness;noun;1
guard;noun;1
egg;noun;1
gun;noun;1
stick;verb;1
snap;verb;1
weak;adjective;1
harm;verb;1
series;noun;1
patience;noun;1
neck;noun;1
avoid;verb;1
time;noun;1
informal;adjective;1
calculate;verb;1
comfortable;adjective;1
go;verb;1
true;adjective;1
watch;verb;1
lower;adjective;1
touch;verb;1
instead;adverb;1
ride;verb;1
income;noun;1
start;verb;1
cry;verb;1
loud;adjective;1
remove;verb;1
brain;noun;1
eager;adjective;1
threat;noun;1
television;noun;1
son;noun;1
current;noun;1
mountain;noun;1
toy;noun;1
jostle;verb;1
part;noun;1
monastery;noun;1
salary;noun;1
organism;noun;1
chase;verb;1
round;verb;1
whitish;adjective;1
deep;adjective;1
record;noun;1
tall;adjective;1
yellow;adjective;1
break;noun;1
college;noun;1
stud;noun;1
pa;noun;1
repeat;verb;1
sunday;noun;1
height;noun;1
clean;verb;1
shout;noun;1
protect;verb;1
moment;noun;1
variety;noun;1
entrance;noun;1
relative;adjective;1
door;noun;1
roof;noun;1
right;adverb;1
relative;noun;1
operate;verb;1
box;noun;1
delicate;adjective;1
past;noun;1
copy;noun;1
hill;noun;1
suck;verb;1
baggage;noun;1
fault;noun;1
saturn;noun;1
exact;verb;1
basis;noun;1
tail;noun;1
bottle;noun;1
next;adjective;1
chest;noun;1
opposite;adjective;1
kind;adjective;1
view;noun;1
meat;noun;1
answer;noun;1
believe;verb;1
likely;adjective;1
