WORD;POS;STRUCTURE
winter;noun;3
moon;noun;2
end;noun;1
gold;noun;1
wheel;noun;1
skate;verb;3
name;noun;1
page;noun;1
friday;noun;1
write;verb;1
skate;noun;3
account;noun;1
phrase;noun;1
invite;verb;1
direction;noun;1
great;adjective;1
supply;verb;1
indication;noun;1
soft;adjective;1
forced;adjective;1
ecg;noun;2
high;adjective;1
rice;noun;1
approving;adjective;1
unofficial;adjective;1
peahen;noun;3
wash;verb;2
undo;verb;1
adverb;noun;1
walkaway;noun;2
yellow;adjective;1
abbreviation;noun;1
attention;noun;1
gain;noun;1
shopkeeper;noun;2
monk;noun;3
offer;verb;1
admiral;noun;1
form;verb;1
reaction;noun;1
path;noun;5
die;verb;1
show;verb;1
temper;noun;1
ship;noun;1
college;noun;1
lava;noun;2
friend;noun;1
horse;noun;1
knickers;noun;3
vehicle;noun;1
friesian;noun;2
fence;noun;1
newspaper;noun;1
knit;verb;2
sandbox;noun;2
star;noun;1
formal;adjective;1
state;verb;1
store;verb;1
human;adjective;1
completely;adverb;1
obviously;adverb;1
punish;verb;1
lack;noun;1
hemp;noun;4
bush;noun;1
inner;adjective;1
disappointed;adjective;1
lie;verb;1
above;adjective;2
bright;adjective;1
bag;noun;1
mixture;noun;1
plate;noun;1
weekly;adjective;1
watchstrap;noun;6
oats;noun;1
meet;verb;1
thunder;noun;6
victory;noun;1
financial;adjective;1
furniture;noun;1
magazine;noun;1
world;noun;1
cover;verb;1
style;noun;1
dissatisfied;adjective;2
aeroplane;noun;1
military;adjective;1
substance;noun;1
charge;noun;1
position;noun;1
talk;noun;1
actually;adverb;1
love;noun;1
practice;verb;1
houseman;noun;3
suggestion;noun;1
difficult;adjective;1
ape;noun;4
watch;noun;5
courage;noun;1
chemistry;noun;1
food;noun;1
spout;verb;3
party;noun;1
outside;adjective;1
period;noun;1
monastery;noun;3
switch;noun;1
curve;noun;1
girl;noun;1
natural;adjective;1
sun;noun;1
tape;noun;1
groundhog;noun;7
planet;noun;1
pleasure;noun;1
worry;verb;1
hold;verb;1
height;noun;1
eat;verb;1
united;adjective;2
universe;noun;1
enter;verb;1
legally;adverb;1
pray;verb;1
normal;adjective;1
old;adjective;1
bull;noun;2
trip;noun;1
glass;noun;1
land;noun;1
allow;verb;1
pantyhose;noun;3
literature;noun;1
vest;noun;3
virus;noun;1
roll;noun;2
straight;adjective;1
blue;adjective;1
dance;noun;1
flag;noun;2
plan;noun;1
watch;verb;1
jump;verb;1
doorpost;noun;3
flame;noun;1
fit;adjective;2
back;noun;1
teach;verb;1
oxygen;noun;1
mexican;adjective;2
different;adjective;1
cattle;noun;2
detail;noun;1
tentacle;noun;2
consider;verb;1
separate;verb;1
hide;verb;1
correct;verb;1
average;noun;2
rain;noun;1
exercise;noun;1
specially;adverb;1
cloth;noun;1
plastic;noun;1
yin;noun;6
use;noun;1
fire;noun;1
contract;noun;2
home;noun;1
body;noun;1
leg;noun;1
unacceptable;adjective;1
operation;noun;1
close;adverb;1
chlorine;noun;1
lock;noun;1
injured;adjective;1
powder;noun;1
pack;verb;1
rang;noun;1
hit;verb;1
gas;noun;1
flutist;noun;5
replace;verb;1
sure;adjective;1
especially;adverb;1
chip;noun;1
teacher;noun;1
change;verb;1
hip;noun;2
u;noun;3
unsanitary;adjective;2
bathtub;noun;3
create;verb;1
pick;verb;1
