WORD;POS;STRUCTURE
end;noun;4
end;noun;1
end;noun;0
end;noun;3
end;noun;2
wheel;noun;1
wheel;noun;0
prophylaxis;noun;1
ormolu;noun;2
deadly;adjective;1
deadly;adjective;2
trot;noun;3
trot;noun;4
hickory;noun;1
knight;noun;3
forbidden;adjective;1
knight;noun;1
knight;noun;4
acutely;adverb;2
incarcerate;verb;3
order;verb;0
consult;verb;2
consult;verb;1
sulk;verb;2
squeezebox;noun;2
rune;noun;1
bleep;verb;4
borderline;adjective;1
rune;noun;2
bleep;verb;1
bilge;noun;4
pretense;noun;2
individually;adverb;1
bilge;noun;2
reverse;noun;1
withering;adjective;1
mass;adjective;1
skin;noun;2
mass;adjective;2
trot;noun;1
curriculum;noun;1
nutty;adjective;1
nutty;adjective;2
competence;noun;1
adjunct;noun;1
adjunct;noun;2
tachometer;noun;1
refreshment;noun;1
upholster;verb;1
solstice;noun;1
regretfully;adverb;1
temperamental;adjective;2
temperamental;adjective;1
karat;noun;2
tick;verb;3
presently;adverb;1
presently;adverb;2
omnipresent;adjective;2
pithead;noun;1
atrophy;verb;1
subordinate;noun;1
ingrained;adjective;3
ledge;noun;1
brief;verb;1
ingrained;adjective;2
lead;noun;3
lead;noun;2
lead;noun;1
breadboard;noun;1
purser;noun;2
sherry;noun;2
harmonica;noun;2
flog;verb;2
flog;verb;3
flog;verb;1
pipsqueak;noun;1
prof;noun;3
crosier;noun;5
k;noun;2
k;noun;1
bored;adjective;1
homemade;adjective;1
untruth;noun;1
switch;verb;1
paleface;noun;2
savage;verb;3
savage;verb;2
wok;noun;3
stung;noun;1
sure;adverb;2
slum;verb;1
transcript;noun;2
thunder;verb;1
landless;adjective;1
mailbox;noun;1
housewares;noun;2
piquant;adjective;2
piquant;adjective;3
maidenly;adjective;1
somnolent;adjective;1
platypus;noun;3
vigilant;adjective;1
monopolize;verb;2
prophesy;noun;2
char;noun;1
morning;noun;1
breadfruit;noun;1
morning;noun;3
winkers;noun;4
girdle;noun;2
girdle;noun;1
stray;adjective;2
stray;adjective;1
halftone;noun;1
halftone;noun;2
halftone;noun;3
bog;noun;1
bog;noun;2
illumination;noun;1
talk;noun;3
talk;noun;2
qv;noun;2
smoked;adjective;1
met;noun;2
met;noun;1
freelance;adjective;2
phylum;noun;2
queasy;adjective;2
decrease;noun;2
nectarine;noun;2
dusk;noun;1
ion;noun;1
gadget;noun;1
humanly;adverb;1
humanly;adverb;2
moon;verb;4
amiable;adjective;3
accreditation;noun;1
topography;noun;1
fling;verb;3
hedge;noun;2
fling;verb;1
shipboard;noun;1
northeaster;noun;2
employee;noun;1
planet;noun;0
cabaret;noun;1
hold;verb;3
hold;verb;2
hold;verb;1
hold;verb;0
tripper;noun;2
hold;verb;4
nutcase;noun;2
frank;verb;1
uninspiring;adjective;1
slug;verb;1
capital;adjective;2
capital;adjective;1
lad;noun;4
barbell;noun;1
piteous;adjective;3
flapjack;noun;2
