WORD;POS;STRUCTURE
enchanting;adjective;2
acetophenetidin;noun;4
majestic;adjective;2
straighten;verb;1
conceive;verb;1
reins;noun;1
encounter;noun;1
deadly;adjective;2
upholster;verb;1
cough;verb;2
slav;noun;2
acknowledged;adjective;1
shorebird;noun;2
knight;noun;1
regardfulness;noun;1
till;verb;1
implicativeness;noun;1
consult;verb;1
trigger;noun;3
goosefoot;noun;1
scar;noun;1
alleviate;verb;1
marquessate;noun;4
induct;verb;1
ion;noun;1
damageability;noun;1
umbilicated;adjective;2
ambiguous;adjective;1
delicate;adjective;1
pretense;noun;1
bunch;noun;2
individually;adverb;1
lepidoptera;noun;1
lime;verb;1
weakly;adjective;1
kidney;noun;1
transmute;verb;1
labyrinth;noun;3
curriculum;noun;3
form;verb;1
competence;noun;1
accuracy;noun;1
beholder;noun;2
show;verb;1
approve;verb;1
solstice;noun;4
college;noun;1
friend;noun;1
aphid;noun;7
tying;verb;1
translucent;adjective;1
hurl;verb;1
fig;noun;3
champagne;noun;4
unprecedented;adjective;3
omnipresent;adjective;2
mouthful;noun;1
realist;adjective;1
page;noun;1
state;verb;1
lead;noun;1
disgust;verb;5
announce;verb;1
sledgehammer;noun;2
relish;verb;1
completely;adverb;1
wail;verb;1
flog;verb;1
juliet;noun;1
momentousness;noun;1
k;noun;1
electrical;adjective;1
ironical;adjective;1
poliomyelitis;noun;6
thisbe;noun;5
enkephalin;noun;7
asexually;adverb;1
arduous;adjective;1
straight;adverb;1
lubricate;verb;1
meet;verb;1
momentarily;adverb;2
freedom;noun;1
molar;adjective;1
receptor;noun;2
reporter;noun;3
costly;adjective;1
chelation;noun;2
ting;noun;1
summary;noun;1
pendulum;noun;1
etic;adjective;2
girdle;noun;1
military;adjective;1
stray;adjective;1
bog;noun;1
verbena;noun;3
heme;noun;9
trust;verb;2
refractoriness;noun;4
actually;adverb;1
boron;noun;1
practice;verb;1
divider;noun;1
merit;verb;1
belonging;noun;2
actively;adverb;2
difficult;adjective;1
decrease;noun;1
insoluble;adjective;2
limb;noun;1
pest;noun;7
first;adverb;1
dusk;noun;1
chemistry;noun;1
mourn;verb;1
phenomena;noun;1
crepuscular;adjective;2
invertebrate;adjective;1
festoon;noun;2
individualization;noun;1
manifest;adjective;1
amiable;adjective;1
alienate;verb;1
talent;noun;1
interfere;verb;1
inch;noun;1
aspect;noun;1
traverse;verb;1
hedge;noun;2
monastery;noun;1
curve;noun;1
emigrate;verb;1
furcula;noun;2
floss;noun;1
northeaster;noun;2
specifically;adverb;1
girl;noun;1
employee;noun;1
stem;verb;1
sect;noun;4
hold;verb;1
freestanding;adjective;2
dupe;verb;1
mulish;adjective;1
seedy;adjective;1
intricately;adverb;1
intimal;adjective;1
inflammability;noun;1
inspire;verb;2
barbell;noun;1
overstate;verb;1
struggle;verb;1
apical;adjective;1
narcissus;noun;1
poisonous;adjective;1
overturn;noun;1
frisian;noun;3
apis;noun;1
censure;noun;1
reeded;adjective;4
broadly;adverb;1
capable;adjective;1
locater;noun;1
blue;adjective;1
crowned;adjective;1
blow;verb;1
tepid;adjective;2
association;noun;1
daisy;noun;1
demonization;noun;1
worm;noun;1
inappropriately;adverb;2
shift;noun;1
ale;noun;1
truthfulness;noun;1
architecture;noun;1
tracheophyte;noun;3
divest;verb;1
holohedral;adjective;2
urge;noun;1
eros;noun;3
operability;noun;1
jerkiness;noun;1
trojan;adjective;2
bal;noun;5
abraham;noun;1
different;adjective;1
lancelet;noun;1
shrink;verb;1
ascertain;verb;1
diverseness;noun;1
anaphase;noun;5
recessiveness;noun;1
separate;verb;1
hide;verb;1
consent;verb;1
pharmaceutical;noun;1
access;noun;1
polygyny;noun;3
splinter;noun;4
specially;adverb;1
cloth;noun;1
yin;noun;4
main;noun;1
gearing;noun;1
manly;adjective;1
nativeness;noun;1
odd;adjective;1
cutlass;noun;1
nucleosome;noun;7
close;adverb;1
vocal;adjective;1
ephedra;noun;3
improper;adjective;1
incursion;noun;1
erotical;adjective;2
maile;noun;6
replace;verb;1
moor;noun;3
subdivision;noun;1
arillate;adjective;1
teacher;noun;1
creation;noun;1
chip;noun;4
electrolysis;noun;3
defiantly;adverb;1
strikingly;adverb;1
largely;adverb;1
corrective;adjective;1
pick;verb;1
keyed;adjective;1
celebrant;noun;2
habitability;noun;1
heel;noun;1
degenerate;adjective;2
closing;noun;1
loquacity;noun;3
helper;noun;2
mastication;noun;1
replacer;noun;1
proteinase;noun;4
semolina;noun;1
immobile;adjective;1
inn;noun;1
unwell;adjective;2
ahriman;noun;5
dissepiment;noun;1
indirectly;adverb;1
hypocrite;adjective;1
ingenuousness;noun;1
meddle;verb;1
traction;noun;1
pigmentation;noun;1
country;noun;1
perceive;verb;1
superfamily;noun;1
vulva;noun;2
appurtenance;noun;1
sickly;adjective;3
burn;noun;1
behavioral;adjective;1
appraisal;noun;1
slowworm;noun;2
sky;noun;1
last;adjective;1
plover;noun;2
strangles;noun;1
manifest;verb;1
malt;verb;1
pet;noun;1
mollusk;noun;1
rescue;verb;1
whitewasher;noun;1
eponymic;adjective;1
melt;verb;1
exhibit;verb;1
tiding;noun;1
cargo;noun;1
curly;adjective;1
snooze;noun;2
blindworm;noun;2
spinning;noun;7
noctuid;adjective;8
precautionary;adjective;1
meaty;adjective;2
educational;adjective;2
seduce;verb;1
unsteady;adjective;1
prefigure;verb;1
industrialization;noun;1
densely;adverb;1
fashionability;noun;1
confirmation;noun;1
truthful;adjective;1
diphosphate;noun;1
pathway;noun;1
mitotic;adjective;5
chisel;verb;1
readily;adverb;1
deplorable;adjective;1
invaginate;verb;2
temporarily;adverb;1
transubstantiation;noun;3
permissible;adjective;1
ascend;verb;1
stall;verb;1
noisy;adjective;1
remember;verb;1
openable;adjective;1
lemur;noun;1
porpoise;noun;1
european;adjective;1
ammonium;noun;2
itch;noun;1
springwood;noun;2
suppressibility;noun;2
measurable;adjective;1
district;noun;1
cholesterol;noun;9
inflection;noun;1
limitless;adjective;2
buffalo;noun;1
southwest;adjective;2
far;adverb;1
eyeball;noun;5
ribonuclease;noun;2
manurer;noun;1
baffle;verb;1
formal;adjective;1
conical;adjective;1
alphabet;noun;1
cultivability;noun;1
fertilize;verb;1
coin;noun;1
hepatica;noun;2
wine;noun;1
continental;adjective;2
analyze;verb;1
interrelate;verb;1
adrenalized;adjective;1
dynamical;adjective;1
sirenian;noun;4
helmet;noun;1
mackerel;noun;4
positiveness;noun;1
output;noun;1
politeness;noun;1
requirement;noun;1
silver;adjective;1
blackberry;noun;1
endocarp;noun;1
ilmenite;noun;6
needy;adjective;1
direct;verb;1
occupy;verb;1
beetle;noun;1
simpleness;noun;1
aim;verb;1
electrostatic;adjective;1
astringent;adjective;1
florid;adjective;1
chlorophyll;noun;1
distorter;noun;1
lure;noun;6
operate;verb;1
polynucleotide;noun;1
doer;noun;2
fiberization;noun;1
calm;noun;1
consign;verb;1
dressing;noun;1
reproduce;verb;1
oxygenic;adjective;2
subterranean;adjective;2
subshrub;noun;3
streptomyces;noun;4
adversary;noun;1
mint;noun;3
beating;noun;1
calves;noun;3
desolateness;noun;1
steer;verb;1
quietly;adverb;1
pouched;adjective;1
excessive;adjective;1
undulate;verb;2
baseball;noun;1
subtracter;noun;1
ergot;noun;4
ceiling;noun;1
invasiveness;noun;1
plantain;noun;4
artfully;adverb;1
winged;adjective;1
diabetes;noun;1
bloodsucker;noun;1
apology;noun;1
twentieth;noun;2
steadfastness;noun;1
tough;adjective;1
diverge;verb;1
nerve;noun;1
westing;noun;1
stupid;adjective;1
spire;noun;1
problem;noun;1
constitution;noun;1
notch;verb;2
millipede;noun;1
unseasonably;adverb;2
disjunction;noun;1
how;adverb;1
luxuriantly;adverb;1
hill;noun;1
inalienable;adjective;1
serotype;noun;2
lie;verb;1
microsporophyll;noun;3
vertical;adjective;1
contend;verb;1
frugal;adjective;2
level;adjective;1
tendency;noun;1
approval;noun;1
language;noun;1
sufficiency;noun;1
tempting;adjective;1
solidness;noun;1
tuba;noun;1
bedstead;noun;1
sinfulness;noun;1
hearth;noun;1
gemsbok;noun;3
carp;noun;5
inattentive;adjective;1
residue;noun;1
permeable;adjective;1
prompt;verb;1
nonessential;adjective;1
achene;noun;1
astronomy;noun;1
recreation;noun;1
outwardly;adverb;1
rank;verb;1
template;noun;2
spirally;adverb;2
fat;adjective;1
disfavor;noun;1
incite;verb;1
patronization;noun;1
transfer;verb;1
delphinium;noun;2
reversibly;adverb;1
inquisitional;adjective;1
spinal;adjective;1
voice;verb;2
acidity;noun;1
hydroxy;adjective;2
lymphoid;adjective;3
webbing;noun;1
foolishly;adverb;1
changeful;adjective;2
destitute;adjective;1
airship;noun;1
down;noun;1
incontestable;adjective;1
care;noun;1
taunt;noun;1
trim;verb;1
manifester;noun;1
marsupial;adjective;1
diana;noun;3
argo;noun;3
cast;verb;1
refractiveness;noun;1
artery;noun;1
half;adjective;1
pelagic;adjective;2
nurture;verb;1
dementia;noun;4
remark;verb;1
process;verb;1
entreaty;noun;1
caustic;adjective;1
pair;noun;1
missionary;adjective;1
substitute;verb;1
hare;noun;4
decent;adjective;1
pancreas;noun;2
neither;adverb;6
elegance;noun;1
excavation;noun;1
linoleum;noun;1
earthy;adjective;1
gymnospermous;adjective;8
procyon;noun;2
bestow;verb;1
masterfulness;noun;1
sash;noun;1
knot;noun;1
creek;noun;1
escheat;verb;3
malignant;adjective;5
falsely;adverb;1
alcid;noun;5
challenge;verb;1
determine;verb;1
majority;noun;2
disrespectability;noun;1
gallbladder;noun;2
entangle;verb;1
deserve;verb;1
sinuous;adjective;1
nematode;noun;2
diversification;noun;2
mortality;noun;6
barnacle;noun;1
calf;noun;2
furrow;noun;1
orientalization;noun;1
hector;noun;6
alto;noun;4
trypsinogen;noun;4
legible;adjective;1
complicated;adjective;1
phonemically;adverb;1
size;verb;1
toothless;adjective;1
enactment;noun;1
world;noun;1
tow;noun;4
intervene;verb;1
roofing;noun;1
servant;noun;1
febrile;adjective;1
unhealthy;adjective;1
gaze;verb;1
alpaca;noun;5
utilize;verb;1
trumpeter;noun;2
push;verb;1
sense;verb;1
renown;noun;3
pindaric;adjective;4
eclipse;noun;1
reproof;noun;1
perilune;noun;3
advertisement;noun;1
pulpy;adjective;1
northing;noun;1
vinegar;noun;1
discovery;noun;1
vex;verb;1
clayware;noun;1
iv;noun;1
variegator;noun;7
sternum;noun;9
vasopressor;adjective;4
woodie;noun;1
degrade;verb;1
permit;noun;1
metabolic;adjective;1
thc;noun;1
beer;noun;1
cheap;adjective;1
let;verb;1
bishop;noun;1
bolete;noun;5
sedimentation;noun;1
amphitheater;noun;3
curtain;noun;1
thallophyte;noun;1
cerebellum;noun;1
adopt;verb;1
freehold;adjective;1
harmonize;verb;1
statical;adjective;1
stream;noun;1
survive;verb;1
eating;adjective;1
manicure;noun;2
