WORD;POS;STRUCTURE
aerothermodynamics;noun;2
acetophenetidin;noun;0
slickly;adverb;6
end;noun;1
flukey;adjective;1
end;noun;2
wheel;noun;1
transitional;adjective;3
prophylaxis;noun;1
wheel;noun;2
wheel;noun;4
strong-mindedly;adverb;1
deadly;adjective;0
deadly;adjective;1
vulgarity;noun;1
trot;noun;3
trot;noun;5
trot;noun;6
indigenization;noun;2
ingrained;adjective;1
misrepresent;verb;2
forbidden;adjective;1
knight;noun;1
calcination;noun;3
discontinuation;noun;2
discontinuation;noun;1
acutely;adverb;1
pre-engineered;adjective;2
cumbersomely;adverb;2
acutely;adverb;2
moyen-âge;adjective;1
incarcerate;verb;1
obstructiveness;noun;1
maidenly;adjective;1
radioman;noun;2
consult;verb;0
hardcore;noun;1
sulk;verb;2
v-chip;noun;1
wheel;noun;3
hardcore;noun;6
scrumptiously;adverb;2
bleep;verb;4
cabaret;noun;2
oleoresinous;adjective;1
cabaret;noun;4
cabaret;noun;5
unfaithfully;adverb;1
pretense;noun;1
pretense;noun;0
pretense;noun;2
bilge;noun;1
pretense;noun;4
ileus;noun;1
bilge;noun;2
reverse;noun;1
puerperium;noun;1
based;adjective;4
runover;noun;2
luthier;noun;3
unfashionableness;noun;1
tow;noun;3
embark;verb;1
folklike;adjective;1
mass;adjective;1
photooxidize;verb;1
mass;adjective;2
connaturally;adverb;1
leniently;adverb;1
flagellantism;noun;2
trot;noun;1
curriculum;noun;0
curriculum;noun;1
femininely;adverb;1
insipidity;noun;2
competence;noun;2
nutty;adjective;1
competence;noun;0
competence;noun;1
deadly;adjective;3
caracal;noun;6
undersea;adverb;1
per;adverb;2
solstice;noun;1
solstice;noun;0
swishingly;adverb;1
veraciousness;noun;2
logistic;adjective;4
regretfully;adverb;1
logistic;adjective;2
logistic;adjective;1
tick;verb;3
tick;verb;1
tick;verb;0
omnipresent;adjective;0
knight;noun;2
splenetic;noun;1
acanthus;noun;3
splenetic;noun;3
acanthus;noun;1
wispiness;noun;4
weary;adjective;2
islamization;noun;3
misrepresent;verb;1
brief;verb;1
stasis;noun;1
stasis;noun;2
stasis;noun;3
lead;noun;3
interconversion;noun;0
lead;noun;1
lead;noun;0
tacitean;adjective;2
breadboard;noun;1
breadboard;noun;3
harmonica;noun;1
harmonica;noun;2
flog;verb;2
flog;verb;3
flog;verb;0
flog;verb;1
dovishness;noun;2
dovishness;noun;1
fusionist;noun;1
electroosmotic;adjective;1
agitatedly;adverb;1
dovishness;noun;4
moult;verb;2
semestrial;adjective;1
moult;verb;1
crosier;noun;1
homemade;adjective;1
crosier;noun;2
untruth;noun;1
untruth;noun;2
cortical;adjective;1
neurosurgeon;noun;1
ergonomically;adverb;5
ergonomically;adverb;4
sinuousness;noun;1
affixment;noun;1
cumbersomely;adverb;3
mudskipper;noun;2
mudejar;adjective;2
ethmoidal;adjective;1
wok;noun;3
pink;adjective;3
sure;adverb;2
femininely;adverb;5
weekly;adjective;1
pneumonectomy;noun;2
lase;verb;1
mailbox;noun;1
housewares;noun;3
housewares;noun;2
witchlike;adjective;4
shook;noun;1
witchlike;adjective;6
witchlike;adjective;1
coper;noun;1
consult;verb;2
noninterlaced;adjective;4
platypus;noun;2
witchlike;adjective;8
law-and-order;adjective;2
tumultuously;adverb;4
apogean;adjective;1
candent;adjective;1
flehmen;verb;1
char;noun;1
breadfruit;noun;2
breadfruit;noun;1
morning;noun;3
garishly;adverb;2
virtuosic;adjective;1
virtuosic;adjective;2
exacerbation;noun;1
worthlessly;adverb;1
worthlessly;adverb;3
stray;adjective;2
bengaline;noun;3
stray;adjective;0
heme;noun;0
bog;noun;0
bog;noun;2
illumination;noun;1
sinuousness;noun;2
talk;noun;3
talk;noun;2
talk;noun;1
boron;noun;0
paratactical;adjective;4
scansion;noun;1
abidance;noun;1
outpouring;noun;2
phylum;noun;0
phylum;noun;2
dissyllable;noun;1
half-hourly;adverb;1
deterrable;adjective;4
nectarine;noun;4
nectarine;noun;1
instanter;adverb;1
dusk;noun;0
gapingly;adverb;1
dusk;noun;2
micro;noun;3
gapingly;adverb;4
encystment;noun;1
gapingly;adverb;6
tipped;adjective;2
salespeople;noun;1
whetstone;noun;2
humanly;adverb;0
humanly;adverb;1
humanly;adverb;2
humanly;adverb;3
chippy;adjective;1
amiable;adjective;1
amiable;adjective;0
amiable;adjective;2
millimicron;noun;3
melatonin;noun;2
allotropy;noun;1
tularemia;noun;0
unsex;verb;1
fling;verb;3
fling;verb;2
hedge;noun;1
hedge;noun;0
remonstration;noun;1
fling;verb;4
intercessional;adjective;2
corvina;noun;1
northeaster;noun;2
wastepaper;noun;3
tab;noun;1
poorish;adjective;2
astonied;adjective;2
astonied;adjective;1
