WORD;POS;STRUCTURE
end;noun;4
end;noun;1
end;noun;0
end;noun;2
wheel;noun;1
wheel;noun;0
wheel;noun;3
wheel;noun;2
trot;noun;1
trot;noun;2
trot;noun;3
hickory;noun;3
hickory;noun;1
ingrained;adjective;1
misrepresent;verb;2
neurosurgeon;noun;3
incarcerate;verb;1
consult;verb;1
squeezebox;noun;2
rune;noun;1
borderline;adjective;1
frank;verb;3
bleep;verb;2
bilge;noun;5
bilge;noun;6
bilge;noun;1
mass;adjective;1
punctual;adjective;2
curriculum;noun;1
nutty;adjective;1
competence;noun;1
adjunct;noun;1
tachometer;noun;1
steer;verb;1
per;adverb;1
upholster;verb;1
superwoman;noun;2
per;adverb;2
solstice;noun;2
karat;noun;3
presently;adverb;1
tick;verb;1
pithead;noun;3
atrophy;verb;1
knight;noun;2
knight;noun;3
subordinate;noun;1
ledge;noun;1
brief;verb;1
stasis;noun;1
brief;verb;3
lead;noun;3
lead;noun;2
lead;noun;1
inc;adjective;2
kitchen;adjective;1
breadboard;noun;1
purser;noun;1
harmonica;noun;1
flog;verb;2
flog;verb;1
pipsqueak;noun;2
crosier;noun;5
k;noun;2
k;noun;1
moult;verb;1
untruth;noun;1
switch;verb;1
switch;verb;2
paleface;noun;3
savage;verb;1
pore;adjective;3
wok;noun;1
thunder;verb;1
sure;adverb;3
housewares;noun;1
mailbox;noun;3
piquant;adjective;1
piquant;adjective;2
platypus;noun;2
somnolent;adjective;5
vigilant;adjective;1
style;noun;2
morning;noun;4
lily;adjective;2
lily;adjective;5
morning;noun;1
breadfruit;noun;1
morning;noun;3
easy;noun;1
girdle;noun;3
stray;adjective;1
far;noun;2
bog;noun;1
fig;verb;0
talk;noun;3
talk;noun;2
talk;noun;1
talk;noun;0
outpouring;noun;1
freelance;adjective;1
stirrup;noun;4
nectarine;noun;2
dusk;noun;1
ion;noun;1
pickings;noun;1
gadget;noun;1
humanly;adverb;1
mutual;noun;2
lad;adjective;1
amiable;adjective;1
moon;verb;1
fling;verb;2
fling;verb;1
planet;noun;0
hold;verb;3
hold;verb;2
hold;verb;1
hold;verb;0
cabaret;noun;2
hold;verb;4
nutcase;noun;1
capital;adjective;2
capital;adjective;1
piteous;adjective;4
accumulate;noun;1
workshy;adjective;1
practise;adjective;2
flapjack;noun;2
slaughterhouse;noun;2
mole;noun;2
mole;noun;3
mole;noun;1
quadrant;noun;1
quadrant;noun;2
commiserate;verb;1
six;noun;1
briar;noun;4
alcove;noun;1
move;verb;2
harmony;verb;3
utmost;adjective;1
shelf;adjective;1
convention;adjective;2
serpent;adjective;2
poltergeist;noun;4
unreadable;adjective;2
shift;noun;2
bruiser;noun;1
shift;noun;1
fear;noun;0
marshal;verb;1
airworthy;adjective;4
wheeze;noun;2
reason;verb;0
whippersnapper;noun;1
stargazer;noun;3
reason;verb;1
nugatory;adjective;1
split;verb;2
thrift;noun;1
attributive;adjective;1
prequel;noun;1
