WORD;POS;STRUCTURE
win;verb;1
fact;noun;1
unhappy;adjective;1
butter;noun;1
describe;verb;1
right;adjective;1
branch;noun;1
outdoor;adjective;1
mice;noun;1
preserve;verb;1
wish;noun;1
wilful;adjective;1
central;adjective;1
deliberately;adverb;1
spell;noun;1
cricket;noun;1
seem;verb;1
call;verb;1
camp;verb;1
grape;noun;1
rain;verb;1
flow;verb;1
surface;noun;1
outer;adjective;1
exist;verb;1
dealt;verb;1
shine;verb;1
through;stop word;1
top;noun;1
journey;noun;1
graphite;noun;1
warn;verb;1
design;verb;1
speed;noun;1
measure;noun;1
calm;adjective;1
end;verb;1
then;adverb;1
empty;adjective;1
system;noun;1
level;noun;1
speak;verb;1
earth;noun;1
higher;adjective;1
aged;adjective;1
people;noun;1
pure;adjective;1
article;noun;1
response;noun;1
prize;noun;1
religious;adjective;1
defeat;verb;1
involve;verb;1
white;adjective;1
drawer;noun;1
opinion;noun;1
secret;adjective;1
chloride;noun;1
traditional;adjective;1
study;noun;1
quickly;adverb;1
throat;noun;1
pool;noun;1
urgent;adjective;1
solid;adjective;1
bad;noun;1
nucleus;noun;1
uncertain;adjective;1
fast;adverb;1
mistake;noun;1
friday;noun;1
sure;adjective;1
earn;verb;1
like;adjective;1
all;adverb;1
pointed;adjective;1
unofficial;adjective;1
channel;noun;1
flower;noun;1
blue;adjective;1
with;stop word;1
pleasant;adjective;1
guard;verb;1
preposition;noun;1
service;noun;1
lock;noun;1
indication;noun;1
magnetic;adjective;1
down;stop word;1
world;noun;1
completely;adverb;1
poisonous;adjective;1
lake;noun;1
comparable;adjective;1
collect;noun;1
cold;adjective;1
weekly;adjective;1
experience;verb;1
picture;noun;1
bite;noun;1
sexual;adjective;1
between;stop word;1
understand;verb;1
confident;adjective;1
chlorine;noun;1
worse;adjective;1
from;stop word;1
weight;noun;1
lose;verb;1
trick;noun;1
sleep;verb;1
sugar;noun;1
put;verb;1
pull;verb;1
minute;noun;1
movement;noun;1
thumb;noun;1
passenger;noun;1
limit;noun;1
queen;noun;1
eats;noun;1
carefully;adverb;1
stay;verb;1
cheerful;adjective;1
will;verb;1
pipe;noun;1
swallow;verb;1
pole;noun;1
straight;adverb;1
respectable;adjective;1
shop;verb;1
elementary;adjective;1
so;adverb;1
somewhere;adverb;1
excellent;adjective;1
new;adjective;1
hard;adjective;1
dry;adjective;1
pot;noun;1
turn;noun;1
feature;noun;1
pretend;adjective;1
emotion;noun;1
satisfactory;adjective;1
shout;verb;1
fabric;noun;1
where;adverb;1
army;noun;1
judgment;noun;1
insect;noun;1
grain;noun;1
climb;verb;1
wooden;adjective;1
coffee;noun;1
unusual;adjective;1
provide;verb;1
compare;verb;1
radio;noun;1
car;noun;1
gain;verb;1
at;stop word;1
so;stop word;1
city;noun;1
sheep;noun;1
pronoun;noun;1
hurt;noun;1
smile;noun;1
acceptable;adjective;1
cure;verb;1
shop;noun;1
angle;noun;1
fairy;noun;1
start;noun;1
own;verb;1
left;adjective;1
leave;noun;1
whom;stop word;1
victory;noun;1
get;verb;1
rabbi;noun;1
competition;noun;1
greatly;adverb;1
about;stop word;1
attention;noun;1
generally;adverb;1
regular;adjective;1
behave;verb;1
no;adverb;1
forced;adjective;1
chemistry;noun;1
drive;noun;1
name;noun;1
muslim;noun;1
conversation;noun;1
camera;noun;1
injured;adjective;1
beach;noun;1
fight;verb;1
direct;adjective;1
burnt;adjective;1
beside;stop word;1
digest;verb;1
heart;noun;1
thin;adjective;1
use;noun;1
taste;noun;1
although;stop word;1
space;noun;1
pour;verb;1
ill;adjective;1
cloud;noun;1
we;stop word;1
big;adjective;1
more;adverb;1
engine;noun;1
return;noun;1
conscious;adjective;1
style;noun;1
far;adverb;1
want;verb;1
black;adjective;1
wine;noun;1
virus;noun;1
war;noun;1
potato;noun;1
become;verb;1
even;adverb;1
character;noun;1
attitude;noun;1
islam;noun;1
juice;noun;1
boil;verb;1
spot;noun;1
snake;noun;1
finish;noun;1
color;noun;1
fairly;adverb;1
broadcast;verb;1
dog;noun;1
unit;noun;1
silver;noun;1
joke;noun;1
sport;noun;1
saturday;noun;1
up;adverb;1
till;stop word;1
franc;noun;1
upright;adjective;1
indoors;adverb;1
surprised;adjective;1
object;noun;1
brick;noun;1
competitor;noun;1
game;noun;1
train;verb;1
remind;verb;1
who;stop word;1
supply;noun;1
film;noun;1
fly;noun;1
cream;noun;1
characteristic;noun;1
package;noun;1
deal;noun;1
crop;noun;1
moral;adjective;1
draw;verb;1
imagination;noun;1
continue;verb;1
support;noun;1
air;noun;1
presidency;noun;1
fold;verb;1
blade;noun;1
accord;verb;1
cold;noun;1
class;noun;1
pale;adjective;1
catch;verb;1
scene;noun;1
testament;noun;1
desk;noun;1
work;verb;1
need;verb;1
dish;noun;1
informant;noun;1
unfair;adjective;1
boat;noun;1
broken;adjective;1
offer;verb;1
official;adjective;1
form;verb;1
skin;noun;1
goal;noun;1
improvement;noun;1
dance;noun;1
upon;stop word;1
enter;verb;1
ship;noun;1
look;verb;1
rhyme;verb;1
talk;verb;1
suggestion;noun;1
take;verb;1
walk;noun;1
cotton;noun;1
not;adverb;1
parent;noun;1
quarrel;verb;1
confuse;verb;1
drug;noun;1
equal;adjective;1
fit;verb;1
liquid;noun;1
waist;noun;1
comparative;noun;1
on;stop word;1
artificial;adjective;1
after;adverb;1
remember;verb;1
nearly;adverb;1
stem;verb;1
rub;verb;1
discuss;verb;1
drop;noun;1
untrue;adjective;1
always;adverb;1
trust;noun;1
fast;adjective;1
yeast;noun;1
fish;noun;1
safe;adjective;1
writing;noun;1
male;adjective;1
curtain;noun;1
outside;noun;1
inject;verb;1
church;noun;1
possibly;adverb;1
person;noun;1
attempt;noun;1
edge;noun;1
strong;adjective;1
general;adjective;1
tool;noun;1
take;noun;1
cost;verb;1
knife;noun;1
during;stop word;1
weapon;noun;1
sure;adverb;1
increase;noun;1
shine;noun;1
investment;noun;1
worship;noun;1
be;verb;1
apartment;noun;1
mail;noun;1
control;noun;1
tv;noun;1
immediately;adverb;1
state;noun;1
sticky;adjective;1
news;noun;1
embarrassed;adjective;1
female;noun;1
lung;noun;1
praise;verb;1
travel;noun;1
material;noun;1
careful;adjective;1
prove;verb;1
detail;noun;1
entertainer;noun;1
yet;adverb;1
bowl;noun;1
spent;adjective;1
supply;verb;1
send;verb;1
refer;verb;1
bad;adjective;1
though;stop word;1
group;noun;1
rice;noun;1
shiny;adjective;1
sign;noun;1
outside;stop word;1
set;noun;1
structuralism;noun;1
aware;adjective;1
produce;noun;1
truth;noun;1
grip;noun;1
bag;noun;1
connect;verb;1
public;noun;1
both;stop word;1
electronic;adjective;1
plastic;noun;1
social;adjective;1
sick;adjective;1
stop;verb;1
direction;noun;1
experience;noun;1
oxygen;noun;1
reaction;noun;1
fuel;noun;1
achievement;noun;1
advantage;noun;1
excite;verb;1
forehead;noun;1
to;stop word;1
attack;noun;1
back;noun;1
light;adjective;1
aim;verb;1
past;stop word;1
emotional;adjective;1
imaginary;adjective;1
small;adjective;1
swim;noun;1
sing;verb;1
annoyed;adjective;1
ready;adjective;1
colourless;adjective;1
molecule;noun;1
corridor;noun;1
hat;noun;1
impure;adjective;1
nice;adjective;1
good;noun;1
top;adjective;1
heat;noun;1
feed;verb;1
quality;noun;1
unclear;adjective;1
adult;adjective;1
sensitive;adjective;1
ceremonial;noun;1
test;noun;1
petrol;noun;1
rope;noun;1
pillar;noun;1
persuade;verb;1
study;verb;1
sound;verb;1
decision;noun;1
coal;noun;1
positive;adjective;1
purpose;noun;1
tendency;noun;1
argue;verb;1
warmth;noun;1
up;stop word;1
envelope;noun;1
meet;noun;1
willful;adjective;1
belief;noun;1
machinations;noun;1
dirt;noun;1
incorrect;adjective;1
distant;adjective;1
education;noun;1
type;noun;1
quantity;noun;1
ink;noun;1
point;noun;1
motor;noun;1
soldier;noun;1
military;adjective;1
smoke;verb;1
pained;adjective;1
about;adverb;1
succeed;verb;1
motorcycle;noun;1
as;adverb;1
village;noun;1
parcel;noun;1
probably;adverb;1
choice;noun;1
original;adjective;1
empire;noun;1
fasten;verb;1
public;adjective;1
situation;noun;1
definitely;adverb;1
basic;adjective;1
border;noun;1
run;verb;1
follow;verb;1
hand;noun;1
high;adjective;1
shaped;adjective;1
plenty;noun;1
mud;noun;1
mean;verb;1
command;verb;1
paint;verb;1
trunk;noun;1
chance;noun;1
relationship;noun;1
hide;verb;1
management;noun;1
behind;stop word;1
change;verb;1
bush;noun;1
plate;noun;1
mixture;noun;1
problem;noun;1
again;adverb;1
hold;verb;1
separate;verb;1
connected;adjective;1
rang;noun;1
hit;verb;1
itself;stop word;1
bitter;adjective;1
progress;noun;1
suppose;verb;1
curved;adjective;1
action;noun;1
by;stop word;1
dislike;verb;1
carnival;noun;1
railroad;noun;1
swim;verb;1
close;adjective;1
represent;verb;1
fill;verb;1
unkind;adjective;1
singular;adjective;1
bite;verb;1
face;verb;1
worn;adjective;1
mention;verb;1
road;noun;1
decay;verb;1
complete;adjective;1
degree;noun;1
successful;adjective;1
rat;noun;1
bribe;verb;1
holy;adjective;1
either;stop word;1
upset;verb;1
can;noun;1
tea;noun;1
egg;noun;1
gun;noun;1
mixed;adjective;1
stick;verb;1
spite;noun;1
wound;noun;1
threaten;verb;1
weak;adjective;1
harm;verb;1
base;verb;1
series;noun;1
neck;noun;1
