WORD;POS;STRUCTURE
crude;noun;1
glandular;adjective;1
raid;noun;1
conversion;noun;1
dear;noun;1
grind;noun;1
describe;verb;1
halo;noun;1
capsule;noun;1
invagination;noun;1
elongate;verb;1
gently;adverb;1
befitting;adjective;1
rapid;adjective;1
penitential;adjective;1
camp;verb;1
grape;noun;1
taxonomic;adjective;1
intellectual;adjective;1
expound;verb;1
twin;noun;1
body;verb;1
reddish;adjective;1
dwell;verb;1
misunderstanding;noun;1
decapitate;verb;1
assistance;noun;1
horizon;noun;1
dicotyledon;noun;1
heaviness;noun;1
speed;noun;1
assignment;noun;1
drumbeat;noun;1
proof;noun;1
end;verb;1
system;noun;1
speak;verb;1
fineness;noun;1
wicked;adjective;1
people;noun;1
closely;adverb;1
sagittarius;noun;1
origin;noun;1
cyprinid;noun;1
shaggy;adjective;1
bear;verb;1
fruitful;adjective;1
need;verb;1
penholder;noun;1
opinion;noun;1
negatively;adverb;1
chloride;noun;1
premise;noun;1
pad;verb;1
wish;noun;1
prevail;verb;1
transmissible;adjective;1
implication;noun;1
bovine;adjective;1
vest;noun;1
nucleus;noun;1
freshwater;noun;1
wrestling;noun;1
knobby;adjective;1
autotrophic;adjective;1
encounter;noun;1
sure;adjective;1
like;adjective;1
rent;noun;1
lepidoptera;noun;1
wary;adjective;1
caterpillar;noun;1
infect;verb;1
aggression;noun;1
steelmaking;noun;1
grammatical;adjective;1
molten;adjective;1
gear;noun;1
urine;noun;1
semitic;adjective;1
envelop;verb;1
inclination;noun;1
stray;adjective;1
accomplish;verb;1
skate;noun;1
moss;noun;1
ileum;noun;1
lovable;adjective;1
gathering;noun;1
painstaking;noun;1
mollusk;noun;1
hold;verb;1
green;noun;1
stave;verb;1
mythology;noun;1
burbot;noun;1
symmetrical;adjective;1
asexual;adjective;1
dip;verb;1
breed;noun;1
initial;adjective;1
understand;verb;1
incorrectly;adverb;1
sway;verb;1
valid;adjective;1
remembrance;noun;1
subphylum;noun;1
boom;noun;1
harp;noun;1
detergent;noun;1
enzyme;noun;1
weight;noun;1
revenue;noun;1
lose;verb;1
sexually;adverb;1
trick;noun;1
kind;adjective;1
passion;noun;1
mouthpart;noun;1
emery;noun;1
tax;verb;1
card;noun;1
marine;noun;1
thumb;noun;1
living;adjective;1
recommend;verb;1
cheerful;adjective;1
preeminence;noun;1
dry;verb;1
exist;verb;1
review;noun;1
methane;noun;1
stage;noun;1
leg;verb;1
cerebral;adjective;1
escape;noun;1
tooth;noun;1
eminence;noun;1
relay;noun;1
nondescript;adjective;1
elaborate;adjective;1
provision;noun;1
defiantly;adverb;1
necessity;noun;1
excellent;adjective;1
upholstery;noun;1
chattel;noun;1
dissension;noun;1
taxus;noun;1
schedule;noun;1
electrolyze;verb;1
shine;verb;1
constrain;verb;1
cheese;noun;1
folly;noun;1
freshness;noun;1
anticipatory;adjective;1
exert;verb;1
strengthen;verb;1
judgment;noun;1
subject;adjective;1
equator;noun;1
apex;noun;1
trace;noun;1
compare;verb;1
rational;adjective;1
city;noun;1
invertebrate;noun;1
presumably;adverb;1
luster;noun;1
ark;noun;1
abridgment;noun;1
evacuate;verb;1
endospore;noun;1
frozen;adjective;1
earthworm;noun;1
astrologer;noun;1
hem;noun;1
bubble;noun;1
foundry;noun;1
deceitful;adjective;1
mystify;verb;1
get;verb;1
generalize;verb;1
vibrate;verb;1
resoluteness;noun;1
sycophant;noun;1
propulsion;noun;1
competition;noun;1
execute;verb;1
discontent;noun;1
mist;noun;1
adverb;noun;1
nutritive;adjective;1
inland;adverb;1
bristle;verb;1
eject;verb;1
irregularly;adverb;1
makeup;noun;1
conversation;noun;1
nook;noun;1
plantigrade;noun;1
perianth;noun;1
voluntary;adjective;1
beach;noun;1
permissible;adjective;1
ornamental;adjective;1
contentious;adjective;1
continent;noun;1
interfere;verb;1
exceptional;adjective;1
stable;noun;1
hinduism;noun;1
macaroni;noun;1
digest;verb;1
claim;noun;1
flattish;adjective;1
singular;noun;1
kilometer;noun;1
solar;adjective;1
oversee;verb;1
datum;noun;1
disorderly;adjective;1
halophilic;adjective;1
moist;adjective;1
phosphorescence;noun;1
mankind;noun;1
allantois;noun;1
adjustable;adjective;1
suction;noun;1
complicated;adjective;1
deliberate;verb;1
slope;noun;1
war;noun;1
coulomb;noun;1
honor;noun;1
immune;adjective;1
grant;verb;1
consolidate;verb;1
obliquely;adverb;1
bromine;noun;1
pile;noun;1
inflectional;adjective;1
snare;noun;1
upset;noun;1
preference;noun;1
adroit;adjective;1
keep;verb;1
snake;noun;1
hebrew;adjective;1
introduction;noun;1
fairly;adverb;1
galactose;noun;1
set;verb;1
specify;verb;1
abnormality;noun;1
labor;noun;1
fork;verb;1
reunite;verb;1
sport;noun;1
goad;noun;1
dye;verb;1
photosynthetic;adjective;1
reputed;adjective;1
isomer;noun;1
stern;adjective;1
brick;noun;1
professional;adjective;1
prone;adjective;1
curvature;noun;1
kitchenette;noun;1
leguminous;adjective;1
remind;verb;1
above;adjective;1
subdivide;verb;1
assembly;noun;1
map;verb;1
deal;noun;1
nodule;noun;1
surgery;noun;1
uterine;adjective;1
adore;verb;1
draw;verb;1
herald;noun;1
contradictory;adjective;1
invest;verb;1
tighten;verb;1
flood;noun;1
ethane;noun;1
blade;noun;1
myelencephalon;noun;1
payable;adjective;1
bag;verb;1
default;noun;1
theme;noun;1
braid;noun;1
nitrogen;noun;1
contingency;noun;1
implicate;verb;1
travel;verb;1
inordinate;adjective;1
testament;noun;1
rush;noun;1
functionally;adverb;1
amount;verb;1
locomotion;noun;1
awake;verb;1
smooth;noun;1
sunflower;noun;1
cogitate;verb;1
foolish;adjective;1
uneasy;adjective;1
great;adjective;1
broccoli;noun;1
form;verb;1
prevent;verb;1
couple;verb;1
skin;noun;1
plateau;noun;1
linguistic;adjective;1
delusion;noun;1
dance;noun;1
embarrassment;noun;1
unusually;adverb;1
sabbath;noun;1
exactness;noun;1
impress;verb;1
column;noun;1
gummy;adjective;1
courtesy;noun;1
machine;noun;1
pacific;adjective;1
viverrid;noun;1
thong;noun;1
bog;noun;1
suggestion;noun;1
sunset;noun;1
desire;verb;1
not;adverb;1
drug;noun;1
stay;noun;1
symbolic;adjective;1
convey;verb;1
lace;noun;1
race;noun;1
cleft;noun;1
applied;adjective;1
good;adjective;1
purify;verb;1
neither;adverb;1
deep;adverb;1
volcano;noun;1
caress;verb;1
affair;noun;1
flea;noun;1
discuss;verb;1
lubricant;noun;1
drop;noun;1
emulsion;noun;1
servant;noun;1
regretful;adjective;1
exempt;adjective;1
graver;noun;1
fast;adjective;1
ribosomal;adjective;1
catalyst;noun;1
up;adjective;1
beverage;noun;1
waste;noun;1
perfidy;noun;1
linsang;noun;1
unctuous;adjective;1
person;noun;1
attempt;noun;1
grove;noun;1
treeless;adjective;1
critic;noun;1
alongside;adverb;1
ceres;noun;1
hydrogen;noun;1
embellish;verb;1
tool;noun;1
urgently;adverb;1
rebekah;noun;1
displace;verb;1
worship;noun;1
pouch;verb;1
periodic;adjective;1
preserver;noun;1
flirtation;noun;1
control;noun;1
wrinkle;noun;1
herbaceous;adjective;1
immediately;adverb;1
test;verb;1
widespread;adjective;1
tablet;noun;1
gnomon;noun;1
semblance;noun;1
principle;noun;1
contrast;noun;1
brush;noun;1
clockwork;noun;1
aureus;noun;1
prove;verb;1
civil;adjective;1
adhesive;adjective;1
maid;noun;1
angular;adjective;1
ample;adjective;1
generate;verb;1
antedate;verb;1
highway;noun;1
hurry;noun;1
amyloplast;noun;1
disdain;noun;1
injurious;adjective;1
refer;verb;1
cathode;noun;1
memory;noun;1
reverberate;verb;1
elsewhere;adverb;1
molecular;adjective;1
peculiarly;adverb;1
tractable;adjective;1
bee;noun;1
taint;verb;1
narrate;verb;1
marine;adjective;1
apricot;noun;1
portend;verb;1
uprising;noun;1
banner;noun;1
translucent;adjective;1
orientation;noun;1
yellowish;adjective;1
unceasing;adjective;1
nobleman;noun;1
emblem;noun;1
permanently;adverb;1
integrate;verb;1
theft;noun;1
breast;noun;1
grip;noun;1
purple;adjective;1
date;verb;1
blunt;adjective;1
lizard;noun;1
incomparable;adjective;1
administer;verb;1
inner;noun;1
canal;noun;1
social;adjective;1
seduce;verb;1
chitinous;adjective;1
injunction;noun;1
invocation;noun;1
such;adjective;1
worthless;adjective;1
excite;verb;1
forehead;noun;1
boil;noun;1
carve;verb;1
even;adjective;1
pinch;noun;1
hydrozoan;noun;1
limitation;noun;1
progenitor;noun;1
galvanize;verb;1
honorable;adjective;1
sing;verb;1
cultivate;verb;1
cilium;noun;1
tongue;noun;1
interception;noun;1
human;adjective;1
negative;adjective;1
obstinately;adverb;1
anxiously;adverb;1
impure;adjective;1
rapier;noun;1
top;adjective;1
acknowledgment;noun;1
illogical;adjective;1
malty;adjective;1
nourish;verb;1
second;adjective;1
tie;verb;1
disgust;noun;1
furnace;noun;1
kapok;noun;1
rope;noun;1
pliant;adjective;1
glucose;noun;1
duress;noun;1
decision;noun;1
jewelry;noun;1
v;noun;1
israelite;noun;1
semiconductor;noun;1
commission;noun;1
blastomere;noun;1
abhorrence;noun;1
daydream;noun;1
prunus;noun;1
thwart;verb;1
solidly;adverb;1
nubian;noun;1
dilute;verb;1
carnivorous;adjective;1
