WORD;POS;STRUCTURE
blighted;adjective;4
phonograph;noun;2
end;noun;0
conceive;verb;0
wheel;noun;0
ongoing;adjective;0
deadly;adjective;0
holography;noun;2
historic;adjective;1
shorebird;noun;0
knight;noun;4
drill;verb;1
consult;verb;0
scar;noun;1
goosefoot;noun;2
alleviate;verb;0
defense;noun;0
ion;noun;0
trickster;noun;2
ambiguous;adjective;0
wisconsin;noun;0
statistic;noun;0
bunch;noun;0
pretense;noun;0
individually;adverb;0
weakly;adjective;1
kidney;noun;4
schema;noun;1
diverseness;noun;0
energetically;adverb;0
generosity;noun;0
form;verb;0
competence;noun;0
accuracy;noun;0
iran;noun;4
cycadophyta;noun;0
aphid;noun;1
college;noun;0
friend;noun;0
guess;noun;0
karat;noun;2
overbear;verb;0
ecology;noun;1
membered;adjective;0
caribbean;noun;0
state;verb;0
lead;noun;0
announce;verb;2
completely;adverb;0
flog;verb;0
divert;verb;0
celery;noun;4
k;noun;1
friday;noun;1
disappointed;adjective;1
penicillin;noun;4
unwilled;adjective;0
shot;noun;0
spirit;noun;0
apprehension;noun;0
perceptible;adjective;0
excess;noun;0
nurture;verb;1
lysimachus;noun;7
lubricate;verb;4
meet;verb;0
freedom;noun;0
predatory;adjective;3
iowa;noun;1
electrically;adverb;0
platypus;noun;0
receptor;noun;2
quinora;noun;2
world;noun;0
voyage;noun;1
silverware;noun;0
summary;noun;0
ting;noun;0
hay;noun;3
concept;noun;0
pewter;noun;0
military;adjective;0
bog;noun;5
antheral;adjective;0
germanite;noun;4
cardboard;noun;0
actually;adverb;0
talk;noun;0
peddling;noun;0
practice;verb;0
phylum;noun;0
color;verb;0
woodpecker;noun;3
betulaceae;noun;5
difficult;adjective;0
sewage;noun;0
tie;verb;5
decrease;noun;0
haustorium;noun;1
limb;noun;0
first;adverb;0
lager;noun;1
chemistry;noun;0
crepuscular;adjective;6
garment;noun;0
invertebrate;adjective;0
serotonin;noun;4
talent;noun;0
interfere;verb;0
period;noun;0
aspect;noun;0
monastery;noun;0
fling;verb;0
curve;noun;0
possibility;noun;0
suction;noun;0
bagpipe;noun;0
tragic;adjective;0
accurate;adjective;0
unfretted;adjective;5
psychology;noun;0
coosa;noun;4
pleasure;noun;0
hold;verb;0
salmacis;noun;7
renaissance;noun;2
physiologically;adverb;0
intricately;adverb;1
penetrable;adjective;0
clump;noun;1
inflammability;noun;1
erect;adjective;0
inspire;verb;0
normal;adjective;0
batidaceae;noun;4
stitch;noun;0
topical;adjective;1
insecure;adjective;1
poisonous;adjective;0
commotion;noun;0
passamaquody;noun;2
graze;verb;1
delilah;noun;4
hydrated;adjective;0
inelastic;adjective;1
alcove;noun;0
censure;noun;0
sufficiently;adverb;0
capable;adjective;0
apatite;noun;3
locater;noun;0
galium;noun;4
acronym;noun;0
persuasion;noun;0
eurylaimi;noun;2
rice;noun;3
blue;adjective;0
navigability;noun;1
exhibit;noun;0
plan;noun;0
jasminum;noun;4
shallow;adjective;0
abbot;noun;1
worm;noun;0
writ;noun;0
bow;noun;4
desirable;adjective;0
chub;noun;5
fear;noun;0
point;noun;0
architecture;noun;0
general;verb;0
appellant;adjective;0
pinnate;adjective;2
anemic;adjective;0
unforeseen;adjective;0
jerkiness;noun;2
geographic;adjective;0
abraham;noun;0
different;adjective;0
attentional;adjective;0
attention;noun;0
ascertain;verb;0
punishment;noun;0
sole;adjective;0
hide;verb;0
separate;verb;0
correct;verb;0
access;noun;0
exercise;noun;0
specially;adverb;0
cloth;noun;0
main;noun;0
eubryales;noun;8
polymox;noun;5
earnest;adjective;0
odd;adjective;0
close;adverb;0
iodin;noun;4
dodder;noun;3
vocal;adjective;0
phytolacca;noun;1
ethic;noun;0
improper;adjective;0
incision;noun;0
toast;noun;0
bracelet;noun;0
blowhole;noun;1
protestant;adjective;0
subtle;adjective;0
offer;verb;0
subdivision;noun;0
chip;noun;1
creation;noun;0
loose;adverb;1
expender;noun;0
strikingly;adverb;1
conceited;adjective;0
byzantium;noun;9
celebrant;noun;0
heel;noun;0
painted;adjective;0
amplification;noun;0
question;noun;0
passeriformes;noun;11
propound;verb;0
show;verb;0
remarkable;adjective;0
indirectly;adverb;0
belemnite;noun;4
elixir;noun;1
list;verb;0
country;noun;0
leontodon;noun;7
considerable;adjective;0
perceive;verb;0
superfamily;noun;1
vulva;noun;0
montgomery;noun;2
burn;noun;0
lyra;noun;0
fly;verb;0
ischium;noun;0
belt;noun;0
last;adjective;0
translucent;adjective;0
tunic;noun;1
manifest;verb;0
inevitably;adverb;0
orach;noun;3
prayer;noun;0
nabalus;noun;9
sky;noun;0
appetizingness;noun;0
mollusk;noun;0
rescue;verb;1
embodiment;noun;0
footwear;noun;0
shrublet;noun;3
searobin;noun;1
exhibit;verb;0
austrian;adjective;5
cargo;noun;0
cleaver;noun;3
ratify;verb;1
reckless;adjective;0
militant;adjective;1
cyclic;adjective;0
course;noun;0
time;noun;0
cycadopsida;noun;0
radiant;adjective;0
densely;adverb;0
confirmation;noun;0
leguminosae;noun;3
truthful;adjective;0
numerable;adjective;0
polyp;noun;4
sponsor;noun;0
chisel;verb;1
epidemiologic;adjective;1
readily;adverb;0
upward;adverb;0
walk;verb;0
color;adjective;0
isthmus;noun;0
temporarily;adverb;0
rigorous;adjective;0
ascend;verb;0
noisy;adjective;0
withhold;verb;0
remember;verb;0
european;adjective;0
measurable;adjective;0
district;noun;0
wrest;verb;2
limitless;adjective;1
southwest;adjective;0
far;adverb;0
multicellular;adjective;0
lupus;noun;5
transparence;noun;1
coup;noun;2
carduus;noun;4
baffle;verb;0
author;noun;0
alphabet;noun;0
coca;noun;0
rummy;noun;2
olivelike;adjective;1
accusal;noun;0
fertilize;verb;0
connectedness;noun;0
coin;noun;0
bleached;adjective;0
wine;noun;0
analyze;verb;0
pleasantness;noun;0
medicinally;adverb;2
mackerel;noun;6
output;noun;0
hermaphroditus;noun;7
politeness;noun;0
figural;adjective;1
silver;adjective;1
offensively;adverb;1
latent;adjective;0
propose;verb;0
columba;noun;2
beetle;noun;0
occupy;verb;0
aim;verb;0
polemoniales;noun;8
reward;noun;0
protected;adjective;0
lure;noun;0
operate;verb;0
nematoda;noun;0
infection;noun;3
wearer;noun;0
wieland;noun;6
reproduce;verb;0
yielding;adjective;0
calibrate;verb;1
streptomyces;noun;5
steer;verb;0
excess;adjective;0
baseball;noun;0
philodendron;noun;3
murder;noun;0
sambre;noun;5
ceiling;noun;0
ergot;noun;3
winged;adjective;1
throw;verb;0
potato;noun;2
wholesome;adjective;0
entrance;noun;0
twentieth;noun;2
nerve;noun;0
disadvantage;noun;0
diverge;verb;0
permanent;adjective;0
distaste;noun;1
untruth;noun;0
constitution;noun;0
problem;noun;0
notch;verb;1
gentile;noun;1
existentialism;noun;6
tough;adjective;0
return;noun;0
hill;noun;0
transport;noun;0
contend;verb;0
vertical;adjective;0
frugal;adjective;0
heterogeneity;noun;0
corticosteroid;noun;2
tiamat;noun;0
grossly;adverb;2
approval;noun;0
tendency;noun;0
defendant;noun;0
centrospermae;noun;2
tassel;noun;1
czech;adjective;2
nonessential;adjective;0
normative;adjective;0
ever;adverb;0
male;noun;0
pedal;noun;0
mixture;noun;0
rank;verb;0
psychic;adjective;0
fat;adjective;0
nutrient;noun;0
technically;adverb;1
boor;noun;2
asclepias;noun;0
volley;verb;1
narrow;noun;2
inky;adjective;1
unregenerate;adjective;3
convulsion;noun;4
arrhythmia;noun;1
destitute;adjective;1
clown;noun;2
candy;noun;1
hydrodiuril;noun;3
extravagantly;adverb;0
care;noun;0
sacrifice;noun;0
trim;verb;0
diana;noun;4
isolable;adjective;1
artery;noun;0
reuptake;noun;1
bragg;noun;4
blame;noun;0
unconscious;noun;0
stubbornly;adverb;4
crossbreed;verb;2
entreaty;noun;0
upland;noun;1
pair;noun;0
missionary;adjective;2
deprivation;noun;1
fish;noun;0
hare;noun;4
lawful;adjective;0
elegance;noun;0
pancreas;noun;9
moderate;noun;0
excavation;noun;0
pyramid;noun;6
pictor;noun;3
associate;verb;0
complex;noun;0
gymnospermous;adjective;0
regularize;verb;0
parhelion;noun;4
latin;noun;0
creek;noun;0
knot;noun;0
deuce;noun;2
samarkand;noun;3
challenge;verb;0
merge;verb;0
determine;verb;0
ligament;noun;0
evasion;noun;0
islamic;adjective;1
gallbladder;noun;7
earliest;adjective;0
thrill;noun;0
proof;noun;0
fidelity;noun;0
unemotional;adjective;2
robust;adjective;0
susceptibility;noun;0
complicated;adjective;0
erbium;noun;5
size;verb;1
understatement;noun;0
photograph;noun;0
intervene;verb;0
integral;noun;0
drop;noun;0
febrile;adjective;1
gaze;verb;0
patchcord;noun;2
