WORD;POS;STRUCTURE
jong;noun;1
acetophenetidin;noun;1
end;noun;1
end;noun;0
wheel;noun;1
prophylaxis;noun;2
multidimensional;adjective;1
ormolu;noun;2
wheel;noun;4
wheel;noun;7
deadly;adjective;0
deadly;adjective;1
trot;noun;2
transitional;adjective;1
knight;noun;3
forbidden;adjective;1
ingrained;adjective;2
misrepresent;verb;7
discontinuation;noun;2
calcination;noun;1
misrepresent;verb;4
acutely;adverb;1
neurosurgeon;noun;1
acutely;adverb;2
fashioned;adjective;2
incarcerate;verb;1
maidenly;adjective;1
consult;verb;1
consult;verb;0
chilly;noun;1
wheel;noun;0
edaphosaurus;noun;2
welding;noun;1
cabaret;noun;1
borderline;adjective;1
wheel;noun;2
bleep;verb;2
pretense;noun;1
pretense;noun;0
pretense;noun;2
bilge;noun;1
bilge;noun;2
spicemill;noun;2
subsidized;adjective;1
semicentennial;noun;2
puerperium;noun;2
amidship;adjective;1
radiomicrometer;noun;3
luthier;noun;3
crawfish;verb;3
mass;adjective;1
carnation;adjective;1
leniently;adverb;3
curriculum;noun;1
orchidaceae;noun;3
nutty;adjective;1
competence;noun;0
gynophore;noun;2
caracal;noun;1
yellowcake;noun;1
cynancum;noun;2
bedimmed;adjective;2
leontodon;noun;0
mnemotechnic;adjective;1
solstice;noun;0
regretfully;adverb;1
logistic;adjective;2
bowels;noun;1
tick;verb;2
tick;verb;1
tick;verb;0
pithead;noun;1
omnipresent;adjective;1
liechtenstein;noun;2
haifa;noun;1
acanthus;noun;1
hertfordshire;noun;1
knight;noun;0
brief;verb;1
stasis;noun;1
philippian;noun;5
engels;noun;6
lead;noun;3
lead;noun;2
lead;noun;1
lead;noun;0
breadboard;noun;1
harmonica;noun;2
flog;verb;2
hygrophoraceae;noun;1
flog;verb;0
dovishness;noun;2
sthene;noun;1
distastefully;adverb;1
semestrial;adjective;1
agene;noun;3
crosier;noun;3
heimdallr;noun;1
untruth;noun;0
cortical;adjective;1
roccus;noun;4
simulator;noun;1
summons;noun;1
unwilled;adjective;1
unwilled;adjective;0
mudskipper;noun;1
sana;noun;2
bladdery;adjective;1
wok;noun;2
oryctolagus;noun;1
weekly;adjective;1
hendiadys;noun;2
vowellike;adjective;1
mailbox;noun;1
preferred;adjective;1
iowa;noun;1
iowa;noun;0
iowa;noun;2
witchlike;adjective;1
somnolent;adjective;1
platypus;noun;0
candent;adjective;1
vigilant;adjective;2
char;noun;5
peloponnesus;noun;0
char;noun;6
breadfruit;noun;2
breadfruit;noun;1
char;noun;2
patrikin;noun;1
decentalisation;noun;2
indusial;adjective;4
nominalist;noun;2
capreolus;noun;2
stray;adjective;1
heme;noun;0
bertholletia;noun;1
passee;adjective;1
bog;noun;0
far;noun;6
sphecidae;noun;4
talk;noun;2
talk;noun;1
smoked;adjective;1
astrophyton;noun;2
outpouring;noun;1
abidance;noun;1
abidance;noun;2
outpouring;noun;2
phylum;noun;0
mariposan;noun;3
woodfern;noun;2
dissyllable;noun;1
plasmodiophora;noun;4
nectarine;noun;3
certificate;verb;2
dusk;noun;1
tipped;adjective;1
uncommonness;noun;2
whetstone;noun;2
humanly;adverb;1
invertebrate;adjective;0
scrutiniser;noun;4
agglomerated;adjective;1
amiable;adjective;1
amiable;adjective;2
melatonin;noun;3
accreditation;noun;1
allotropy;noun;1
glochid;noun;2
amalgamate;verb;1
unsex;verb;2
hedge;noun;2
fling;verb;1
fling;verb;0
sandboy;noun;4
interpretable;adjective;1
northeaster;noun;1
trenton;noun;2
filago;noun;1
craniologist;noun;1
sombrely;adverb;1
goebbels;noun;2
astonied;adjective;1
31st;adjective;2
hold;verb;3
dendrocolaptes;noun;1
hold;verb;1
hold;verb;0
kib;noun;1
cleridae;noun;2
nutcase;noun;2
paleornithology;noun;3
penetrable;adjective;1
capital;adjective;3
capital;adjective;1
laughing;adjective;1
entebbe;noun;4
maroc;adjective;1
thighbone;noun;1
acarina;noun;1
whiz;noun;2
mole;noun;2
mole;noun;3
mole;noun;1
quadrant;noun;1
mole;noun;4
adjudicative;adjective;2
undergarment;noun;0
thesaurus;noun;2
gonadotropic;adjective;3
briar;noun;6
ossiferous;adjective;2
briar;noun;2
alcove;noun;0
stradivari;noun;3
smartness;noun;4
amiably;adverb;3
ondatra;noun;2
move;verb;2
sulphurous;adjective;3
sulphurous;adjective;1
individually;adverb;0
move;verb;1
calando;adjective;2
manganite;noun;1
cancer;noun;0
move;verb;0
hydrobates;noun;2
dray;noun;2
demonization;noun;4
smartness;noun;1
desirable;adjective;1
desirable;adjective;0
bruiser;noun;2
counterexample;noun;1
fear;noun;1
fear;noun;0
necromancy;noun;1
whole;adverb;1
necromancy;noun;3
airworthy;adjective;1
asian;adjective;0
marshal;verb;2
actin;noun;0
blackwater;noun;1
whippersnapper;noun;2
brilliance;noun;1
carious;adjective;1
entomophthora;noun;1
snorkeling;noun;5
saccharify;verb;1
saccharify;verb;2
caulescent;adjective;1
whorehouse;noun;1
pteropogon;noun;2
relocate;verb;1
cafe;noun;2
dative;noun;2
endermatic;adjective;1
simper;verb;3
uncross;verb;2
trimmings;noun;3
elam;noun;2
polaroid;noun;4
hide;verb;0
hide;verb;1
correct;verb;1
correct;verb;0
primaeval;adjective;1
dappled;adjective;1
correct;verb;5
yin;noun;4
anywhere;adverb;0
halifax;noun;1
third;adverb;1
rein;noun;2
rein;noun;1
odd;adjective;1
odd;adjective;0
midweekly;adjective;1
cutlass;noun;1
close;adverb;0
close;adverb;1
zabrze;noun;1
aviation;noun;1
sokoro;noun;4
pant;verb;3
pant;verb;2
insipidly;adverb;1
bluing;noun;1
spodoptera;noun;2
bracelet;noun;0
bountiful;adjective;1
eubryales;noun;0
kikladhes;noun;4
muff;noun;2
muff;noun;1
huxleyan;adjective;1
marvelous;adjective;2
dispensed;adjective;2
bibliotheca;noun;1
spade;noun;7
expender;noun;0
spade;noun;1
anthropometrical;adjective;2
handcolor;verb;1
hawkishness;noun;1
pyrographer;noun;3
hotdog;noun;2
bicuspid;adjective;3
misgovernment;noun;2
irrecoverable;adjective;1
reversibility;noun;1
mime;verb;1
gateau;noun;1
semolina;noun;5
lithe;adjective;1
refreshment;noun;2
amorphous;adjective;1
dihybrid;noun;1
suspect;adjective;1
babble;noun;2
infundibulum;noun;1
inoculating;noun;2
tango;verb;3
plumping;adjective;1
sorrowful;adjective;4
papilliform;adjective;2
slaveholding;noun;2
hackelia;noun;5
thirteenth;adjective;2
straightforwardness;noun;2
straightforwardness;noun;3
mahjong;noun;3
speedy;adjective;0
terminological;adjective;1
acores;noun;1
titian;noun;2
menelaus;noun;1
goteborg;noun;1
behavioral;adjective;1
speciously;adverb;1
illiteracy;noun;2
illiteracy;noun;1
handcuff;verb;4
astylar;adjective;1
angelic;adjective;5
thales;noun;3
angelic;adjective;1
angelic;adjective;2
mistrust;noun;2
leaner;noun;3
integrative;adjective;1
blog;noun;3
unexcitable;adjective;1
footwear;noun;0
footwear;noun;1
tapered;adjective;1
exhibit;verb;0
exhibit;verb;1
unarm;verb;2
vesicant;adjective;2
lepidochelys;noun;2
somali;noun;1
obstructionist;noun;1
cyclic;adjective;0
cyclic;adjective;1
catbrier;noun;2
quatern;noun;3
notturno;noun;2
miter;noun;3
counterfactual;adjective;2
soothsaying;noun;1
miter;noun;4
allusion;noun;2
prefigure;verb;1
circumlocutory;adjective;3
confirmation;noun;1
confirmation;noun;2
confirmation;noun;3
starting;noun;1
detached;adjective;2
detached;adjective;1
karyotype;noun;2
polemic;adjective;1
hessonite;noun;2
town;noun;5
expunge;verb;2
town;noun;1
color;adjective;0
solmizate;verb;1
shamanist;adjective;2
teju;noun;3
unlive;verb;2
rosebush;noun;2
ovoflavin;noun;1
permissible;adjective;1
crisscross;verb;1
hadj;noun;9
