WORD;POS;STRUCTURE
fief;noun;1
crude;noun;1
reddish;adjective;1
noncellular;adjective;1
grind;noun;1
describe;verb;1
opportuneness;noun;1
praise;noun;1
glassware;noun;1
minimum;adjective;1
elongate;verb;1
rapid;adjective;1
earnestly;adverb;1
collect;noun;1
grape;noun;1
taxonomic;adjective;1
intellectual;adjective;1
twin;noun;1
body;verb;1
dwell;verb;1
basketball;noun;1
horizon;noun;1
bluish;adjective;1
bland;adjective;1
economize;verb;1
proof;noun;1
end;verb;1
system;noun;1
speak;verb;1
people;noun;1
origin;noun;1
religious;adjective;1
bear;verb;1
torah;noun;1
drawer;noun;1
opinion;noun;1
negatively;adverb;1
chloride;noun;1
pilgrimage;noun;1
pool;noun;1
implication;noun;1
bovine;adjective;1
nucleus;noun;1
argentite;noun;1
freshwater;noun;1
mosul;noun;1
widen;verb;1
sensible;adjective;1
like;adjective;1
rent;noun;1
medic;noun;1
wary;adjective;1
trna;noun;1
even;adjective;1
feat;noun;1
aggression;noun;1
persian;adjective;1
welcome;verb;1
molten;adjective;1
unpredictably;adverb;1
coastal;adjective;1
chromatic;adjective;1
gear;noun;1
world;noun;1
inclination;noun;1
accomplish;verb;1
macer;noun;1
contrarious;adjective;1
lovable;adjective;1
heighten;verb;1
mollusk;noun;1
untruth;noun;1
hold;verb;1
green;noun;1
transversally;adverb;1
unsegmented;adjective;1
sore;adjective;1
asexual;adjective;1
breed;noun;1
initial;adjective;1
abundant;adjective;1
valid;adjective;1
chitin;noun;1
blame;noun;1
worldly;adjective;1
indifferent;adjective;1
enzyme;noun;1
weight;noun;1
lose;verb;1
sexually;adverb;1
trick;noun;1
passion;noun;1
mouthpart;noun;1
openly;adverb;1
card;noun;1
marine;noun;1
enclosed;adjective;1
thumb;noun;1
recommend;verb;1
cheerful;adjective;1
dry;verb;1
exist;verb;1
review;noun;1
assist;noun;1
searchingly;adverb;1
cerebral;adjective;1
escape;noun;1
confederacy;noun;1
healing;noun;1
elaborate;adjective;1
provision;noun;1
distance;noun;1
adorability;noun;1
fresh;adjective;1
constrain;verb;1
cranium;noun;1
lapse;noun;1
freshness;noun;1
refinance;verb;1
exert;verb;1
strengthen;verb;1
judgment;noun;1
subject;adjective;1
flatten;verb;1
alkaloid;noun;1
compare;verb;1
rational;adjective;1
impartation;noun;1
radio;noun;1
car;noun;1
identity;noun;1
city;noun;1
ark;noun;1
earthworm;noun;1
bubble;noun;1
